Period,Sender ID,Sender Decision Length,Receiver ID,Receiver Decision Length,Sent,Multiplier,Received,Invested,ReceiverKept,SenderGiven
3,23,3,9,2,4.38,1,11.05,7.95,1.44,1.66
3,24,3,7,1,2.89,1,35.37,27.41,2.91,5.05
4,1,5,17,3,0.09,4,32.88,14.8,3.99,14.09
4,2,2,21,2,0.76,4,28.76,27.49,0.9,0.37
4,3,3,13,2,2.08,4,16.04,8.58,6.36,1.1
4,4,4,22,5,2.19,4,148.56,60.41,18.79,69.36
4,5,5,20,2,1.91,4,22.16,1.98,13.09,7.09
4,10,3,12,3,1.44,4,8.88,7.94,0.04,0.9
4,11,1,18,2,2.12,4,83.68,69.67,5.18,8.83
4,14,1,8,1,1.63,4,13.92,10.75,0.27,2.9
4,15,2,6,2,4.64,4,69.24,47.58,9.8,11.86
4,19,1,16,4,2.15,4,20.72,14.45,0.3,5.97
4,23,2,9,4,3.16,4,44.44,4.21,38.08,2.15
4,24,3,7,2,0.32,4,110.92,69.38,32.47,9.07
5,1,2,17,2,1.21,1,16.01,6.74,4.63,4.64
5,2,4,21,1,0.74,1,28.23,19.53,5.07,3.63
5,3,2,13,3,1.60,1,10.18,7.53,1.2,1.45
5,4,4,22,2,4.27,1,64.68,40.72,13.82,10.14
5,5,1,20,3,0.84,1,2.82,1.24,0.15,1.43
5,10,2,12,1,3.46,1,11.4,5.2,5.97,0.23
5,11,2,18,1,1.18,1,70.85,15.58,19.01,36.26
5,14,2,8,3,2.41,1,13.16,3.28,6.09,3.79
5,15,2,6,3,2.03,1,49.61,46.2,2.26,1.15
5,19,3,16,3,2.58,1,17.03,3.53,12.66,0.84
5,23,3,9,2,3.61,1,7.82,0.6,5.3,1.92
5,24,1,7,3,4.75,1,74.13,51.54,0.99,21.6
6,1,2,17,4,2.50,1,9.24,1.43,1.54,6.27
6,2,1,21,2,2.92,1,22.45,19.1,0.09,3.26
6,3,3,13,1,2.27,1,9.8,5.56,2.91,1.33
6,4,2,22,1,2.88,1,43.6,23.2,4.73,15.67
6,5,3,20,4,0.48,1,1.72,1.15,0.34,0.23
6,10,1,12,2,4.82,1,10.02,2.24,6.64,1.14
6,11,1,18,1,1.72,1,17.3,10.31,4.75,2.24
6,14,3,8,3,3.08,1,6.36,5.09,1.2,0.07
6,15,3,6,1,3.32,1,49.52,19.21,13.89,16.42
6,19,3,16,2,4.69,1,8.22,7.8,0.28,0.14
6,23,2,9,1,3.67,1,4.27,1.91,1.65,0.71
6,24,3,7,3,0.22,1,51.76,39.36,3.53,8.87
7,1,3,17,5,4.23,5,28.3,17.4,4.15,6.75
7,2,1,21,1,0.75,5,99.25,70.51,18.63,10.11
7,3,2,13,3,2.16,5,38.6,2.27,10.76,25.57
7,4,1,22,2,2.34,5,127.7,46.76,30.79,50.15
7,5,3,20,3,1.67,5,14.1,13.71,0.31,0.08
7,10,1,12,4,3.88,5,30.6,19.84,8.64,2.12
7,11,2,18,4,2.02,5,61.65,36.15,24.41,1.09
7,14,5,8,1,1.00,5,30.45,17.6,2.53,10.32
7,15,2,6,2,3.06,5,111.35,14.9,27.18,69.27
7,19,1,16,2,0.26,5,40.3,10.94,21.48,7.88
7,23,1,9,2,2.77,5,23.4,12.65,0.15,10.6
7,24,2,7,3,1.20,5,202.8,14.56,82.15,106.09
8,1,2,17,2,2.34,4,78.96,14.16,27.27,37.53
8,2,2,21,1,3.86,4,297.48,87.29,132.1,78.09
8,3,2,13,2,1.88,4,16.6,10.62,1.22,4.76
8,4,2,22,1,4.26,4,204.08,200.67,2.76,0.65
8,5,2,20,1,2.19,4,63.6,38.04,13.04,12.52
8,10,3,12,2,0.41,4,81,23.43,38.92,18.65
8,11,3,18,1,1.95,4,152.4,43.47,78.83,30.1
8,14,1,8,1,0.12,4,70.88,15.08,11.7,44.1
8,15,2,6,4,0.58,4,61.92,46.59,6.55,8.78
8,19,3,16,1,2.00,4,51.76,2.53,19.88,29.35
8,23,1,9,3,2.90,4,62.2,15.32,46.81,0.07
8,24,3,7,2,2.13,4,66.76,49.96,7.97,8.83
9,1,4,17,2,4.70,2,37.72,14.85,20.69,2.18
9,2,3,21,2,0.25,2,175.08,162.66,5.76,6.66
9,3,2,13,3,3.39,2,28.02,1.82,12.5,13.7
9,4,1,22,1,3.87,2,409.08,210.22,185.65,13.21
9,5,2,20,5,1.33,2,78.74,76.44,2.03,0.27
9,10,3,12,1,3.78,2,54.42,21.71,4.24,28.47
9,11,4,18,1,2.30,2,91.54,79.54,9.55,2.45
9,14,4,8,4,3.80,2,37.76,16.15,17.95,3.66
9,15,1,6,1,0.11,2,93.4,70.68,5.87,16.85
9,19,2,16,5,3.24,2,11.54,8.52,0.02,3
9,23,2,9,1,2.90,2,36.44,16.82,14.85,4.77
9,24,1,7,3,3.63,2,107.18,24.29,76.59,6.3
10,1,2,17,3,1.54,5,81.95,54,17.8,10.15
10,2,2,21,1,1.34,5,820,140.35,8.77,670.88
10,3,1,13,5,1.56,5,16.9,0.5,7.34,9.06
10,4,1,22,4,4.56,5,1073.9,723.54,120.89,229.47
10,5,1,20,1,3.66,5,400.5,95.98,184.42,120.1
10,10,2,12,2,0.50,5,111.05,94.33,11.81,4.91
10,11,2,18,2,4.66,5,421,222.19,79.56,119.25
10,14,2,8,2,2.76,5,94.55,76.16,15.93,2.46
10,15,1,6,3,2.74,5,367.1,159.59,11.44,196.07
10,19,4,16,3,3.39,5,59.55,51.2,0.29,8.06
10,23,5,9,1,3.98,5,104,99.03,0.48,4.49
10,24,1,7,1,1.90,5,130.95,14.8,86.97,29.18
11,1,1,17,1,2.67,2,113.34,66.49,36.27,10.58
11,2,2,21,1,2.20,2,285.1,153.61,49.35,82.14
11,3,1,13,2,0.25,2,1.5,0.16,1.26,0.08
11,4,1,22,1,0.32,2,1447.72,768.38,0.91,678.43
11,5,2,20,2,3.09,2,198.14,53.06,105.89,39.19
11,10,2,12,3,2.70,2,194.06,160.97,20.21,12.88
11,11,3,18,1,3.21,2,450.8,54.18,335.6,61.02
11,14,3,8,2,0.86,2,154.04,0.74,70.27,83.03
11,15,1,6,1,3.28,2,325.74,158.61,48.37,118.76
11,19,1,16,3,0.18,2,102.76,81.93,2.39,18.44
11,23,2,9,2,4.04,2,206.14,87.19,16.95,102
11,24,1,7,3,3.78,2,37.16,28.9,4.34,3.92
12,1,2,17,2,3.34,3,209.49,92.33,50.73,66.43
12,2,2,21,3,0.32,3,461.79,215.95,98.51,147.33
12,3,2,13,4,4.48,3,13.92,3.12,10.42,0.38
12,4,1,22,2,3.16,3,2314.62,456.24,782.81,1075.57
12,5,2,20,2,1.51,3,163.71,27.83,22.52,113.36
12,10,4,12,1,2.10,3,489.21,387.22,75.46,26.53
12,11,5,18,3,3.87,3,174.15,20.1,12.17,141.88
12,14,1,8,2,4.86,3,16.8,2.4,13.11,1.29
12,15,1,6,1,3.72,3,486.99,174.96,118.15,193.88
12,19,2,16,4,3.47,3,256.2,181.76,61.19,13.25
12,23,3,9,4,1.39,3,265.74,224.58,15.94,25.22
12,24,2,7,3,0.50,3,88.2,60.25,20.06,7.89
13,1,2,17,1,1.94,2,188.54,166.31,21.9,0.33
13,2,1,21,1,3.08,2,438.06,18.54,139.63,279.89
13,3,3,13,1,2.75,2,11.74,4.5,1.24,6
13,4,1,22,2,1.59,2,915.66,748.23,136.09,31.34
13,5,2,20,2,2.95,2,61.56,27.95,15.45,18.16
13,10,1,12,1,1.86,2,778.16,141.82,342.35,293.99
13,11,1,18,2,0.64,2,41.48,13.36,20.9,7.22
13,14,3,8,4,4.30,2,13.4,1.22,1.3,10.88
13,15,1,6,3,3.49,2,356.9,210.56,134.72,11.62
13,19,4,16,3,0.91,2,365.34,102.87,120.17,142.3
13,23,4,9,1,1.66,2,452.48,135.68,72.34,244.46
13,24,4,7,3,2.27,2,125.04,91.27,4.25,29.52
14,1,2,17,4,2.17,4,673.92,606.71,30.07,37.14
14,2,3,21,2,2.00,4,82.16,69.96,1.64,10.56
14,3,4,13,2,4.82,4,37.28,31.96,1.77,3.55
14,4,2,22,1,2.11,4,3001.36,2285.87,314.27,401.22
14,5,2,20,2,0.83,4,115.12,84.98,19.56,10.58
14,10,1,12,3,3.70,4,582.08,406.94,174.95,0.19
14,11,3,18,2,0.40,4,55.04,30.09,21.54,3.41
14,14,2,8,2,4.55,4,23.08,16.5,5.65,0.93
14,15,1,6,1,1.89,4,849.8,643.9,200.59,5.31
14,19,4,16,1,4.11,4,427.92,145.39,61.35,221.18
14,23,4,9,3,1.94,4,550.48,291.31,70.13,189.04
14,24,3,7,1,3.59,4,379.44,229.7,125.55,24.19
15,1,1,17,5,0.59,4,2429.2,2231.41,7.64,190.15
15,2,3,21,4,4.79,4,299,85.23,61.88,151.89
15,3,1,13,3,3.08,4,140.16,112.28,21.73,6.15
15,4,4,22,3,0.91,4,9147.12,360.05,975.61,7811.46
15,5,3,20,3,2.73,4,350.84,342.16,1.31,7.37
15,10,4,12,2,4.09,4,1644.12,1427.83,119.42,96.87
15,11,1,18,3,3.39,4,133.92,60.51,59.81,13.6
15,14,2,8,2,4.55,4,84.2,76.72,1.43,6.05
15,15,5,6,3,2.05,4,2583.8,74.1,1132.12,1377.58
15,19,1,16,2,3.59,4,595.92,527.8,57.11,11.01
15,23,2,9,1,3.50,4,1179.24,1065.77,39.15,74.32
15,24,2,7,1,1.35,4,924.2,565.68,255.89,102.63
